"Date","Tokyo","Kanagawa","Saitama","Ibaraki","Chiba","Chiba_afterweek"
2021-07-01,674,211,142,27,139,200
2021-07-02,660,230,125,23,149,180
2021-07-03,715,254,116,28,157,204
2021-07-04,518,226,124,30,141,183
2021-07-05,342,180,76,12,112,114
2021-07-06,592,198,137,17,138,180
2021-07-07,920,250,157,24,139,208
2021-07-08,896,322,155,26,200,253
2021-07-09,823,355,150,35,180,277
2021-07-10,951,310,147,37,204,244
2021-07-11,613,389,163,35,183,254
2021-07-12,503,280,110,20,114,234
2021-07-13,829,308,178,36,180,199
2021-07-14,1150,361,243,37,208,302
2021-07-15,1309,403,328,48,253,343
2021-07-16,1272,446,290,60,277,334
2021-07-17,1411,539,318,45,244,301
2021-07-18,1008,460,287,34,254,279
2021-07-19,727,412,199,27,234,508
2021-07-20,1391,433,314,57,199,405
2021-07-21,1839,522,381,77,302,577
2021-07-22,1984,630,510,86,343,576
2021-07-23,1367,652,401,54,334,753
2021-07-24,1148,547,345,44,301,792
2021-07-25,1785,531,449,63,279,767
2021-07-26,1449,539,449,86,508,786
2021-07-27,2889,758,594,96,405,781
2021-07-28,3234,1051,870,193,577,838
2021-07-29,3920,1164,864,166,576,941
2021-07-30,3386,1418,853,222,753,1057
2021-07-31,4143,1580,1036,172,792,1075
2021-08-01,3134,1257,899,202,767,988
2021-08-02,2282,1686,762,172,786,951
2021-08-03,3798,1298,1053,197,781,858
2021-08-04,4316,1484,1201,290,838,953
2021-08-05,5149,1845,1235,185,941,1038
2021-08-06,4688,2082,1220,283,1057,1089
2021-08-07,4652,1893,1449,256,1075,1272
2021-08-08,4139,1860,1364,299,988,1373
2021-08-09,2972,2166,1160,217,951,1607
2021-08-10,2775,1572,1166,223,858,1303
2021-08-11,4425,1561,1227,180,953,1692
2021-08-12,5133,1807,1528,274,1038,1408
2021-08-13,5908,2281,1696,335,1089,1778
2021-08-14,5249,2356,1800,391,1272,1761
2021-08-15,4358,2080,1773,238,1373,1245
2021-08-16,3119,2584,1301,186,1607,1503
2021-08-17,4534,2017,1634,260,1303,1133
2021-08-18,5567,2021,1451,345,1692,1451
2021-08-19,5729,2340,2169,296,1408,1396
2021-08-20,5529,2878,1824,355,1778,1487
2021-08-21,5247,2705,1875,365,1761,1629
2021-08-22,4448,2524,1696,336,1245,1203
2021-08-23,2537,2579,1332,276,1503,1028
2021-08-24,4328,1947,1316,247,1133,1278
2021-08-25,4334,2304,1614,275,1451,1134
2021-08-26,4783,2632,1709,271,1396,1088
2021-08-27,4350,2662,1524,328,1487,1160
2021-08-28,3691,2378,1608,281,1629,1202
2021-08-29,3124,2362,1463,221,1203,1129
2021-08-30,1969,1719,1106,227,1028,665
2021-08-31,2926,1541,996,160,1278,647
2021-09-01,3176,1921,1203,215,1134,609
2021-09-02,3097,1738,1115,220,1088,589
2021-09-03,2534,1869,925,262,1160,461
2021-09-04,2370,1633,1075,263,1202,428
2021-09-05,1854,1242,817,259,1129,305
2021-09-06,974,971,450,158,665,169
2021-09-07,1634,738,647,125,647,361
2021-09-08,1840,1099,779,205,609,282
2021-09-09,1677,803,697,183,589,262
2021-09-10,1246,829,556,163,461,249
2021-09-11,1276,861,780,140,428,201
2021-09-12,1084,595,424,85,305,190
2021-09-13,521,252,190,68,169,107
2021-09-14,974,550,440,134,361,57
2021-09-15,1068,622,487,131,282,190
2021-09-16,798,486,341,103,262,177
2021-09-17,702,447,307,108,249,74
2021-09-18,713,357,298,97,201,123
2021-09-19,523,312,196,78,190,99
2021-09-20,259,139,101,24,107,49
2021-09-21,197,100,93,24,57,92
2021-09-22,451,237,259,54,190,88
2021-09-23,542,358,224,72,177,67
2021-09-24,208,124,112,28,74,86
2021-09-25,351,197,178,44,123,68
2021-09-26,294,184,147,28,99,39
2021-09-27,125,53,49,15,49,16
2021-09-28,242,140,142,46,92,72
2021-09-29,260,165,119,29,88,49
2021-09-30,206,107,116,23,67,36
2021-10-01,191,80,106,22,86,33
2021-10-02,190,94,71,25,68,35
2021-10-03,125,78,70,9,39,33
2021-10-04,89,27,33,11,16,13
2021-10-05,107,85,80,15,72,26
2021-10-06,163,125,75,21,49,28
2021-10-07,141,75,49,20,36,24
2021-10-08,99,71,30,10,33,16
2021-10-09,78,80,38,25,35,12
2021-10-10,55,47,33,9,33,6
2021-10-11,34,27,20,5,13,5
2021-10-12,49,49,36,7,26,22
2021-10-13,69,61,39,8,28,16
2021-10-14,50,47,36,6,24,12
2021-10-15,55,22,27,11,16,5
2021-10-16,67,26,22,6,12,9
2021-10-17,41,26,19,6,6,8
2021-10-18,19,5,13,2,5,3
2021-10-19,37,18,18,5,22,6
2021-10-20,42,33,11,7,16,11
2021-10-21,30,29,14,6,12,7
2021-10-22,26,11,14,5,5,8
2021-10-23,34,17,17,3,9,13
2021-10-24,17,6,7,2,8,3
2021-10-25,14,6,2,0,3,3
2021-10-26,27,19,13,2,6,13
2021-10-27,34,16,13,2,11,6
2021-10-28,22,14,13,2,7,4
2021-10-29,24,12,13,3,8,9
2021-10-30,23,8,14,7,13,10
2021-10-31,18,7,12,1,3,1
2021-11-01,11,4,0,0,3,4
2021-11-02,19,14,10,3,13,16
2021-11-03,29,16,7,1,6,10
2021-11-04,13,11,4,1,4,11
2021-11-05,20,13,10,1,9,5
2021-11-06,32,16,6,4,10,8
2021-11-07,22,9,5,4,1,5
2021-11-08,15,4,3,1,4,2
2021-11-09,24,18,14,2,16,4
2021-11-10,22,14,13,3,10,9
2021-11-11,24,14,6,4,11,5
2021-11-12,23,23,9,6,5,4
2021-11-13,24,16,11,4,8,4
2021-11-14,18,22,6,1,5,5
2021-11-15,8,4,9,2,2,2
2021-11-16,13,15,19,1,4,2
2021-11-17,26,31,16,1,9,0
2021-11-18,21,22,6,2,5,4
2021-11-19,17,15,6,4,4,7
2021-11-20,19,15,4,1,4,2
2021-11-21,22,14,6,2,5,3
2021-11-22,4,2,2,0,2,0
2021-11-23,13,10,6,3,2,8
2021-11-24,7,6,4,0,0,8
2021-11-25,24,6,11,0,4,5
2021-11-26,19,13,8,1,7,8
2021-11-27,19,13,10,1,2,6
2021-11-28,8,7,5,0,3,4
2021-11-29,7,8,5,0,0,5
2021-11-30,20,8,10,0,8,4
2021-12-01,21,10,11,0,8,8
2021-12-02,12,15,5,0,5,2
2021-12-03,14,9,13,0,8,6
2021-12-04,21,13,9,0,6,7
2021-12-05,15,5,3,0,4,12
2021-12-06,4,2,2,0,5,9
2021-12-07,15,16,6,1,4,10
2021-12-08,22,21,10,1,8,5
2021-12-09,26,21,11,4,2,5
2021-12-10,16,16,7,3,6,10
2021-12-11,23,9,8,4,7,12
2021-12-12,13,11,4,1,12,4
2021-12-13,9,8,4,0,9,4
2021-12-14,29,27,6,3,10,6
2021-12-15,31,26,12,0,5,12
2021-12-16,28,26,4,2,5,8
2021-12-17,20,23,9,0,10,3
2021-12-18,32,29,11,2,12,4
2021-12-19,31,17,12,1,4,8
2021-12-20,8,5,3,1,4,3
2021-12-21,36,18,5,3,6,6
2021-12-22,34,26,9,2,12,20
2021-12-23,39,27,5,0,8,21
2021-12-24,30,26,6,1,3,9
2021-12-25,49,40,10,2,4,25
2021-12-26,35,22,12,1,8,9
2021-12-27,37,9,7,0,3,29
2021-12-28,56,25,13,2,6,44
2021-12-29,84,26,14,4,20,97
2021-12-30,78,19,15,1,21,187
2021-12-31,77,21,11,1,9,241
2022-01-01,86,25,17,2,25,283
2022-01-02,65,25,14,2,9,318
2022-01-03,130,43,23,5,29,217
2022-01-04,151,69,38,9,44,225
2022-01-05,430,148,108,14,97,718
2022-01-06,708,230,173,44,187,960
2022-01-07,1010,392,283,54,241,1151
2022-01-08,1390,506,417,102,283,1403
2022-01-09,1294,520,392,62,318,1277
2022-01-10,977,331,257,44,217,847
2022-01-11,918,374,255,65,225,2153
2022-01-12,2419,1048,761,185,718,2159
2022-01-13,3826,1593,1167,299,960,2496
2022-01-14,4335,1760,1283,317,1151,2839
2022-01-15,5237,2261,1742,361,1403,3322
2022-01-16,5144,2057,1589,316,1277,2622
2022-01-17,3111,1361,954,184,847,1338
2022-01-18,6889,3135,2392,490,2153,4226
2022-01-19,9012,3914,2613,663,2159,3530
2022-01-20,10396,4384,2994,673,2496,4456
2022-01-21,10588,4525,3148,826,2839,4108
2022-01-22,12481,5463,3568,908,3322,4953
2022-01-23,10686,4850,3254,743,2622,3897
2022-01-24,6741,2799,2002,399,1338,1871
2022-01-25,15945,7121,4794,1069,4226,5239
2022-01-26,15628,7187,4798,913,3530,4959
2022-01-27,16558,7428,5419,1169,4456,5422
2022-01-28,17482,7099,5252,989,4108,5024
2022-01-29,18816,8029,5936,1366,4953,5568
2022-01-30,15955,6836,5289,1026,3897,4037
2022-01-31,9284,3421,2622,581,1871,2002
2022-02-01,18812,8370,6251,1586,5239,5843
2022-02-02,18552,7755,5711,1400,4959,5049
2022-02-03,18957,7991,7049,1710,5422,5355
2022-02-04,19825,7960,6573,1468,5024,4801
2022-02-05,19921,8956,6962,1650,5568,1610
2022-02-06,15650,6198,5692,1221,4037,4410
2022-02-07,9076,3712,3028,685,2002,1677
2022-02-08,20039,8905,7129,1541,5843,5521
2022-02-09,18055,8247,6129,1428,5049,4700
2022-02-10,18442,8203,6848,1664,5355,5046
2022-02-11,16186,7231,5963,1453,4801,3915
2022-02-12,7955,3405,2646,553,1610,4322
2022-02-13,14354,6645,5578,1146,4410,3319
2022-02-14,7234,3519,2420,730,1677,1563
2022-02-15,17850,8849,6778,1522,5521,4554
2022-02-16,16422,7882,6501,1661,4700,4202
2022-02-17,16435,8044,6270,1556,5046,1736
2022-02-18,13657,6205,5261,1382,3915,3724
2022-02-19,13708,7280,5676,1444,4322,4064
2022-02-20,10955,5530,4577,1077,3319,3185
2022-02-21,5733,2574,1999,734,1563,1341
2022-02-22,14084,7606,5864,1392,4554,4114
2022-02-23,14403,7462,6030,1648,4202,3795
2022-02-24,6657,3006,2777,715,1736,3452
2022-02-25,12439,6387,4989,1339,3724,3036
2022-02-26,13289,7107,5470,1570,4064,3313
2022-02-27,9854,5233,4276,1167,3185,2622
2022-02-28,5486,2647,2085,722,1341,1114
2022-03-01,13056,7099,5376,1685,4114,3773
2022-03-02,12168,7048,5148,1728,3795,3316
2022-03-03,11100,5700,4409,1477,3452,3166
2022-03-04,9364,5340,4077,1379,3036,2853
2022-03-05,10255,5985,4315,1505,3313,3051
2022-03-06,7761,4495,3450,1300,2622,2453
2022-03-07,3974,2149,1557,575,1114,1141
2022-03-08,10507,6376,4436,1626,3773,3638
2022-03-09,10098,6311,4742,1837,3316,3128
2022-03-10,9222,4842,4014,1609,3166,2954
2022-03-11,7969,4470,3585,1452,2853,2408
2022-03-12,8641,5372,4140,1572,3051,2397
2022-03-13,6921,4197,3279,1197,2453,1962
2022-03-14,3701,2105,1529,670,1141,1028
2022-03-15,9817,5711,4505,1679,3638,728
2022-03-16,9294,5459,4486,1985,3128,3060
2022-03-17,8126,4417,4003,1693,2954,2696
2022-03-18,6998,3504,3342,1404,2408,2536
2022-03-19,7159,3978,3498,1516,2397,2609
2022-03-20,5628,2983,2908,1094,1962,2112
2022-03-21,3289,1771,1474,584,1028,1003
2022-03-22,2999,1244,1205,336,728,3213
2022-03-23,8523,4731,4296,1346,3060,3086
2022-03-24,8541,4430,4286,1611,2696,2784
2022-03-25,7457,3664,3672,1266,2536,2469
2022-03-26,7804,4284,3818,1366,2609,2883
2022-03-27,6592,3408,3218,1114,2112,2196
2022-03-28,3735,1740,1623,691,1003,957
2022-03-29,9268,4847,4449,1377,3213,3101
2022-03-30,9281,4618,4148,1691,3086,3080
2022-03-31,8562,3856,4120,1355,2784,2692
2022-04-01,7441,3570,3604,1424,2469,2552
2022-04-02,8362,3951,3982,1376,2883,2823
2022-04-03,6672,3232,2979,1212,2196,2116
2022-04-04,3386,1589,1491,534,957,1000
2022-04-05,8665,4252,3835,1388,3101,3027
2022-04-06,9264,4433,4210,1558,3080,2788
2022-04-07,8836,4059,3707,1491,2692,2300
2022-04-08,7872,3664,3554,1304,2552,1903
2022-04-09,8381,4194,3811,1392,2823,1893
2022-04-10,6676,3119,2939,1085,2116,1430
2022-04-11,3554,1718,1333,393,1000,603
2022-04-12,9024,4534,3976,1442,3027,2115
2022-04-13,8813,4161,3752,1353,2788,2106
2022-04-14,7522,3369,3145,1112,2300,1770
2022-04-15,6401,3015,2609,961,1903,1698
2022-04-16,6287,2910,2551,939,1893,1762
2022-04-17,4637,2087,1951,727,1430,1350
2022-04-18,2363,1059,889,297,603,568
2022-04-19,6773,3184,2914,1052,2115,1902
2022-04-20,6884,3313,3034,1154,2106,1600
2022-04-21,6109,2679,2556,886,1770,1396
2022-04-22,5396,2502,2364,776,1698,1292
2022-04-23,5775,2809,2630,920,1762,363
2022-04-24,4431,2264,2066,665,1350,980
2022-04-25,2414,1141,1053,287,568,440
2022-04-26,5911,2919,2377,844,1902,1427
2022-04-27,5775,2745,2474,857,1600,552
2022-04-28,4862,2270,2107,740,1396,600
2022-04-29,4128,2010,1757,693,1292,436
2022-04-30,2246,882,786,248,363,1505
2022-05-01,3211,1517,1286,414,980,1225
2022-05-02,1986,829,686,296,440,501
2022-05-03,4009,2000,1826,640,1427,1476
2022-05-04,2682,1087,984,360,552,1220
2022-05-05,2406,1101,1019,306,600,1035
2022-05-06,2449,1011,801,241,436,969
2022-05-07,4781,2528,2216,845,1505,1085
2022-05-08,4226,2136,1818,729,1225,803
2022-05-09,2481,1012,827,340,501,376
2022-05-10,5036,2555,2051,696,1476,1202
2022-05-11,4759,2181,1803,734,1220,1165
2022-05-12,4144,1852,1567,564,1035,932
2022-05-13,3826,1713,1445,579,969,906
2022-05-14,3991,1877,1600,594,1085,1008
2022-05-15,3196,1511,1203,446,803,752
2022-05-16,1725,833,591,245,376,338
2022-05-17,4312,2143,1554,569,1202,1028
2022-05-18,4518,2067,1640,603,1165,965
2022-05-19,3804,1700,1276,513,932,739
2022-05-20,3548,1606,1244,560,906,686
2022-05-21,3935,1839,1378,547,1008,701
2022-05-22,2884,1418,1050,519,752,496
2022-05-23,1503,661,476,203,338,213
2022-05-24,3841,1898,1304,452,1028,707
2022-05-25,3745,1657,1297,500,965,621
2022-05-26,3029,1347,1108,377,739,478
2022-05-27,2645,1159,874,338,686,502
2022-05-28,2556,1214,970,344,701,456
2022-05-29,1930,936,668,233,496,347
2022-05-30,1040,499,338,85,213,169
2022-05-31,2628,1212,887,240,707,526
2022-06-01,2489,1130,875,302,621,460
2022-06-02,2257,897,763,269,478,456
2022-06-03,2009,852,618,236,502,373
2022-06-04,1954,893,639,250,456,460
2022-06-05,1459,677,499,197,347,331
2022-06-06,801,395,237,77,169,165
2022-06-07,1978,911,696,233,526,490
2022-06-08,2064,846,641,235,460,488
2022-06-09,1721,716,534,190,456,484
2022-06-10,1602,610,525,219,373,419
2022-06-11,1644,719,578,210,460,481
2022-06-12,1342,586,499,169,331,369
2022-06-13,800,316,263,78,165,175
2022-06-14,1893,906,683,253,490,608
2022-06-15,1961,888,731,261,488,609
2022-06-16,1707,786,602,210,484,499
2022-06-17,1608,701,559,208,419,541
2022-06-18,1898,840,656,203,481,556
2022-06-19,1487,698,529,206,369,472
2022-06-20,828,365,253,86,175,241
2022-06-21,2252,1082,800,280,608,863
2022-06-22,2501,1022,745,308,609,894
2022-06-23,2332,978,723,248,499,971
2022-06-24,2101,923,588,189,541,1026
2022-06-25,2348,1027,715,224,556,998
2022-06-26,1958,856,575,152,472,953
2022-06-27,1191,443,297,80,241,664
2022-06-28,3210,1402,912,245,863,1327
2022-06-29,3880,1701,1175,259,894,1659
2022-06-30,3724,1574,1138,276,971,2081
2022-07-01,3546,1519,1133,243,1026,2258
2022-07-02,3616,1749,1220,268,998,2404
2022-07-03,3788,1815,1232,297,953,2593
2022-07-04,2772,1814,912,233,664,1644
2022-07-05,5302,1939,1089,181,1327,2838
2022-07-06,8341,3038,2043,339,1659,3837
2022-07-07,8529,3130,2434,514,2081,4097
2022-07-08,8777,3677,2281,490,2258,4983
2022-07-09,9716,4009,2546,485,2404,5429
2022-07-10,9482,4304,2943,574,2593,4877
2022-07-11,6231,4230,2429,496,1644,4181
2022-07-12,11511,4991,2350,487,2838,2901
2022-07-13,16878,6193,5002,632,3837,5210
2022-07-14,16662,6155,5751,942,4097,7555
2022-07-15,19059,7603,5755,1147,4983,9463
2022-07-16,18919,7638,6115,1145,5429,9591
2022-07-17,17790,8147,6547,1173,4877,8436
2022-07-18,12696,9445,5639,1139,4181,7320
2022-07-19,11018,8576,3380,1127,2901,8452
2022-07-20,20401,11443,4811,1039,5210,8389
2022-07-21,31878,9230,10823,1419,7555,11778
2022-07-22,34995,10747,11598,2753,9463,10386
2022-07-23,32698,13716,12424,2548,9591,10644
2022-07-24,28112,12100,12185,2757,8436,9507
2022-07-25,22387,12495,9264,1947,7320,7749
2022-07-26,31593,11108,7010,2719,8452,6824
2022-07-27,29036,16554,12892,2474,8389,10345
2022-07-28,40406,15255,13058,2969,11778,11040
2022-07-29,36814,13234,13155,3637,10386,10541
2022-07-30,33466,15031,12768,3478,10644,10100
2022-07-31,31541,15088,13690,3777,9507,9085
2022-08-01,21958,14409,9814,3305,7749,7044
2022-08-02,30842,12565,7267,2950,6824,7058
2022-08-03,38940,15730,13780,3984,10345,8392
2022-08-04,35339,14007,13821,4637,11040,8755
2022-08-05,37767,13178,13991,4833,10541,8003
2022-08-06,30970,14100,12877,4708,10100,5785
2022-08-07,26313,12554,13008,4377,9085,4603
2022-08-08,17884,12631,8832,2887,7044,5075
2022-08-09,29115,13613,7084,2741,7058,4848
2022-08-10,34243,12965,13035,2963,8392,6816
2022-08-11,31247,12009,13432,4581,8755,6797
2022-08-12,20401,12432,10528,3336,8003,8513
2022-08-13,23773,9571,6778,2282,5785,7892
2022-08-14,22740,9703,9659,3178,4603,7840
2022-08-15,23135,9049,7128,2557,5075,4419
2022-08-16,23511,8614,5940,1737,4848,5732
2022-08-17,29416,9945,9990,2620,6816,7106
2022-08-18,27453,10009,11187,4090,6797,9286
2022-08-19,27676,9562,11327,4804,8513,7318
2022-08-20,25277,11333,11496,4829,7892,6925
2022-08-21,24780,10741,11449,4275,7840,5821
2022-08-22,15085,9212,8156,3785,4419,4299
2022-08-23,21770,8987,5877,2539,5732,4637
2022-08-24,25444,9790,10912,4039,7106,6377
2022-08-25,23129,7841,10103,4654,9286,6051
2022-08-26,18423,9093,8911,3611,7318,5202
2022-08-27,17126,8802,7877,3791,6925,4534
2022-08-28,15834,7536,7734,3508,5821,4952
2022-08-29,9880,7203,5419,2240,4299,2930
2022-08-30,14219,6775,4696,1796,4637,3986
2022-08-31,15428,6367,8176,3344,6377,4752
2022-09-01,14451,5760,7493,3002,6051,4758
2022-09-02,12413,6764,6204,2396,5202,3996
2022-09-03,12561,6196,5988,2287,4534,3972
2022-09-04,9635,5604,5603,2052,4952,3757
2022-09-05,7296,5176,3952,1929,2930,2881
2022-09-06,9486,4826,3471,1015,3986,3131
2022-09-07,13568,5400,6802,2624,4752,4416
2022-09-08,10640,4677,5948,2525,4758,3872
2022-09-09,9240,5988,5303,1863,3996,3636
2022-09-10,9988,5336,4653,1490,3972,3305
2022-09-11,7750,5309,4818,1834,3757,2851
2022-09-12,5654,4476,3689,1405,2881,2124
2022-09-13,8855,4279,2982,589,3131,1702
2022-09-14,10593,5139,6039,2070,4416,2869
2022-09-15,8825,4042,5797,1949,3872,3209
2022-09-16,8636,4784,4783,1533,3636,3536
2022-09-17,8018,4914,4336,1372,3305,2194
2022-09-18,8077,4457,4187,1433,2851,2502
2022-09-19,4069,2942,2935,1191,2124,2814
2022-09-20,3794,2782,1783,560,1702,1663
2022-09-21,7059,2975,2222,423,2869,1900
2022-09-22,8850,3500,5369,1808,3209,1743
2022-09-23,7559,4674,3924,1677,3536,1613
2022-09-24,4855,3794,2772,1189,2194,1470
2022-09-25,5621,2864,1982,502,2502,1151
2022-09-26,6316,2918,3831,1258,2814,613
2022-09-27,5247,2571,2525,556,1663,1732
2022-09-28,5327,3229,2762,1508,1900,1608
2022-09-29,5032,3026,2011,1261,1743,1397
2022-09-30,4558,2368,1979,1037,1613,1249
2022-10-01,3834,2620,1831,836,1470,1108
2022-10-02,2922,1906,1604,890,1151,893
2022-10-03,1673,1265,585,692,613,491
2022-10-04,4310,2607,2158,304,1732,533
2022-10-05,4067,2542,2236,907,1608,1896
2022-10-06,3042,2333,1609,856,1397,1745
2022-10-07,3554,2051,1474,740,1249,1313
2022-10-08,2605,1690,1294,512,1108,1348
2022-10-09,2242,1424,1055,547,893,994
2022-10-10,1372,832,660,526,491,503
2022-10-11,1504,941,581,288,533,1682
2022-10-12,4790,2355,2375,224,1896,1511
2022-10-13,4338,2453,2011,1198,1745,1414
2022-10-14,3495,2058,1759,1112,1313,1133
2022-10-15,3239,2045,1441,693,1348,1292
2022-10-16,2714,1691,1291,674,994,1179
2022-10-17,1588,1022,675,563,503,527
2022-10-18,4213,2011,2034,353,1682,1925
2022-10-19,4204,2222,1916,854,1511,1720
2022-10-20,3489,1991,1605,855,1414,1630
2022-10-21,2840,1804,1439,647,1133,1406
2022-10-22,3231,1892,1480,637,1292,1595
2022-10-23,2805,1807,1363,677,1179,1496
2022-10-24,1735,1122,725,554,527,734
2022-10-25,4702,2409,2366,256,1925,2387
2022-10-26,4347,2812,2293,966,1720,2339
2022-10-27,3941,2333,1923,947,1630,2220
2022-10-28,3520,2210,1977,763,1406,1063
2022-10-29,4121,2562,2094,814,1595,2858
2022-10-30,3687,2165,2010,926,1496,2343
2022-10-31,2019,1684,943,879,734,997
2022-11-01,6520,3795,3175,397,2387,3032
2022-11-02,6346,3641,3413,1414,2339,2770
2022-11-03,6686,3930,3196,1377,2220,2487
2022-11-04,3090,2415,1245,1267,1063,2600
2022-11-05,7967,4652,4321,463,2858,3019
2022-11-06,6264,4253,3355,1813,2343,2633
2022-11-07,3489,2419,1542,956,997,1288
2022-11-08,8665,4806,4267,921,3032,4295
2022-11-09,9012,4744,4152,1978,2770,3886
2022-11-10,7969,5190,3823,1911,2487,3472
2022-11-11,7899,4621,3922,1692,2600,3061
2022-11-12,8021,5127,4079,1557,3019,3767
2022-11-13,6922,4452,3656,1900,2633,3075
2022-11-14,4025,2984,1719,1207,1288,1638
2022-11-15,11196,6298,5476,1556,4295,5112
2022-11-16,10114,6516,5440,1980,3886,5316
2022-11-17,9755,6128,4990,2390,3472,2239
2022-11-18,8292,5497,4309,2050,3061,5072
2022-11-19,9457,5802,4741,1679,3767,5909
2022-11-20,7777,5058,4073,2147,3075,4299
2022-11-21,4619,3488,2163,1240,1638,2005
2022-11-22,12758,7235,6683,1689,5112,5921
2022-11-23,12850,7909,7098,2487,5316,6036
2022-11-24,5639,4708,2345,1194,2239,5640
2022-11-25,12938,6825,6213,3531,5072,5333
2022-11-26,13569,7683,6722,1985,5909,5057
2022-11-27,10346,6684,5395,2942,4299,3940
2022-11-28,5767,4066,2364,2149,2005,2252
2022-11-29,14680,8167,7346,1000,5921,6526
2022-11-30,14399,8573,7519,3156,6036,6678
2022-12-01,12332,7879,6468,3080,5640,5931
2022-12-02,11244,7163,6608,2812,5333,5692
2022-12-03,13321,8029,6700,2499,5057,6705
2022-12-04,10454,6498,5389,2761,3940,5553
2022-12-05,5388,3977,2086,2096,2252,2902
2022-12-06,15501,7897,8271,888,6526,8906
2022-12-07,14946,8939,8608,3600,6678,8669
2022-12-08,14104,8413,7282,3436,5931,7751
2022-12-09,13556,8185,7125,3133,5692,7027
2022-12-10,14558,9067,7864,2996,6705,7513
2022-12-11,12163,7691,6505,3434,5553,6430
2022-12-12,7044,4686,3171,2698,2902,3157
2022-12-13,19800,10618,10256,1122,8906,9451
2022-12-14,18812,11328,10684,4700,8669,9147
2022-12-15,17687,11040,9142,4531,7751,8064
2022-12-16,16273,10065,8333,3870,7027,7687
2022-12-17,17020,10420,9219,3735,7513,8548
2022-12-18,13646,8899,7214,4077,6430,7043
2022-12-19,7949,5618,3586,3080,3157,3195
2022-12-20,20513,10730,10624,1218,9451,9520
2022-12-21,21186,11833,10989,4803,9147,9112
2022-12-22,18820,11470,9620,4825,8064,7991
2022-12-23,17332,10331,9099,4209,7687,6113
2022-12-24,18731,11701,9800,3571,8548,4318
2022-12-25,15403,9784,7983,4162,7043,3705
2022-12-26,8428,5988,3605,3515,3195,3164
2022-12-27,22063,11451,10989,1323,9520,4088
2022-12-28,20243,11984,10903,5075,9112,4035
2022-12-29,18372,11674,9392,4802,7991,10174
2022-12-30,14525,8491,7402,3980,6113,9578
2022-12-31,11189,6891,5287,2825,4318,10180
2023-01-01,9186,5518,3791,2142,3705,7606
2023-01-02,7537,5008,3189,1665,3164,3751
2023-01-03,9628,4828,4162,1498,4088,3229
2023-01-04,10554,6574,4991,1660,4035,9071
2023-01-05,20735,10688,10707,1794,10174,6923
2023-01-06,20720,11773,11429,5242,9578,5845
2023-01-07,19630,12840,11330,5106,10180,5566
2023-01-08,15124,10099,8782,5542,7606,4570
2023-01-09,8199,6777,3816,4131,3751,2099
2023-01-10,7462,4558,3106,1418,3229,6103
2023-01-11,16772,9898,9724,1481,9071,5262
2023-01-12,13427,9337,7523,4929,6923,4057
2023-01-13,11241,7806,6213,3979,5845,3821
2023-01-14,10729,7875,5947,3145,5566,3733
2023-01-15,8269,6027,4600,3239,4570,3175
2023-01-16,4433,3646,2150,2614,2099,1374
2023-01-17,11120,6836,6193,923,6103,4058
2023-01-18,9187,6496,5599,3437,5262,3458
2023-01-19,7719,5634,4447,2863,4057,2832
2023-01-20,6603,4396,3777,2380,3821,2564
2023-01-21,6607,4541,3885,1904,3733,2505
2023-01-22,5110,3551,2977,2124,3175,2000
2023-01-23,2677,2194,1322,1821,1374,894
2023-01-24,7306,4591,4126,577,4058,2743
2023-01-25,5934,4278,3511,2397,3458,2316
2023-01-26,5061,3729,2614,2089,2832,1825
2023-01-27,4297,3246,2356,1559,2564,1631
2023-01-28,4515,3206,2359,1667,2505,1657
2023-01-29,3427,2463,1981,1639,2000,1322
2023-01-30,1818,1543,822,1040,894,630
2023-01-31,4862,3044,2714,486,2743,1793
2023-02-01,4012,2863,2646,1536,2316,1649
2023-02-02,3502,2592,2033,1308,1825,1271
2023-02-03,2941,2368,1733,1083,1631,1181
